TICKER,NAME,RETURN,RISK,MKTCAP,TURNOVER_RATIO,AMIHUD_ILLIQUIDITY,VOLUME
PURA,Pura,0.028059643,0.271724805,22569288.44,0.012735609,0.016757076,214520.5565
XVG,Verge,0.024911088,0.20910233,109700818.8,0.057247288,0.000186788,21194822.47
CHC,ChainCoin,0.023438504,0.259957151,3439034.464,0.013653872,0.012537424,132637.221
ZNY,Bitzeny,0.023304962,0.208300839,1536909.615,0.02380071,0.005860258,59509.64525
PAC,Paccoin,0.021607339,0.220484825,644716.2259,0.007830178,0.00256313,9948.785124
PIVX,PIVX,0.0203197,0.120329436,116379124.8,0.013832113,8.32E-06,1505671.926
DP,DigitalPrice,0.020289501,0.26664166,318615.9366,0.009715505,0.011562508,5382.831956
GRS,Groestlcoin,0.019918346,0.166854889,15473323.3,0.06396999,0.000302567,2025274.281
SHIFT,Shift,0.019321073,0.122528787,11506695.93,0.021182215,2.03E-05,354002.438
TRIG,Triggers,0.018943821,0.219294527,11609662.73,0.065923683,0.000617102,1806088.135
EMC2,Einsteinium,0.018489713,0.1464039,33283376.33,0.129721327,3.52E-06,8069873.614
NLC2,NoLimitCoin,0.018445279,0.211454231,17707492.97,0.004329666,0.002512971,67126.49036
HUSH,Hush,0.018411802,0.221462875,1757097.948,0.044262952,0.0029027,46463.22314
TX,TransferCoin,0.01833002,0.163050231,4255119.545,0.051039949,6.64E-05,282549.6419
XWC,WhiteCoin,0.018104684,0.134357146,6089656.667,0.041494052,0.00034229,249862.2562
RDD,ReddCoin,0.017731221,0.190565141,31910087.96,0.044577501,5.81E-05,3831405.901
EXCL,ExclusiveCoin,0.017724744,0.165892961,2730610.209,0.06147262,0.001028048,229905.5758
RISE,Rise,0.017476612,0.140345757,16845095.24,0.042016603,6.06E-05,1668794.788
NEO,NEO,0.017177328,0.121285715,849046161.4,0.055731239,7.60E-07,50543421.96
MUE,MonetaryUnit,0.017171431,0.128649352,10963690.96,0.024972584,2.97E-05,357452.6391
SPHR,Sphere,0.017100306,0.150578724,5377087.561,0.024396486,0.00105664,234746.9254
UNIC,UniCoin,0.017092212,0.19119254,132937.1994,0.000725514,0.030054596,96.99722992
