Date,Bitcoin,Tether,Litecoin,Ardor,Ethereum,Lisk,Monero,Dash,Stratis,Waves,Bytecoin,BitShares,NEO,Zcash,NEM,Stellar,Ripple,Equities,Commodities,Gold,REIT
1/01/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/01/2017,1.023459177,1,1.031042129,1.035882816,1.025703794,1.052207365,1.14889048,1.051647373,1.026541214,1.051314375,1.017241379,1.000493949,1.026797611,1.02723334,0.981686047,0.998387747,0.991048995,1,1,1,1
3/01/2017,1.045586129,1,1.026607539,1.025462053,1.190942472,1.058477041,1.151753758,1.138023152,1.042056979,1.084076594,0.931034483,1.025932329,0.98999584,1.03239117,1.038662791,1.02942362,1.002826633,1,1,1,1
4/01/2017,1.156661625,1,1.073170732,1.168010224,1.376988984,1.149819963,1.326413744,1.471059662,1.143855868,1.09032089,1.034482759,1.096073104,0.963994896,1.176604085,1.094767442,1.102378073,1.031721106,1.005722309,1.007782101,1.001592251,1.01527265
5/01/2017,1.015075176,1,0.951219512,1.076976013,1.254589963,1.048633251,1.158911954,1.280498664,1.005954848,1.053157842,0.913793103,1.009878982,0.924062859,1.028264906,1.05755814,1.047158404,0.973775126,1.004947228,1.014267185,1.057324804,1.018545313
6/01/2017,0.903709194,1,0.855875831,0.988104601,1.254589963,0.940464701,1.004294918,1.071237756,0.878347012,0.944894769,0.913793103,0.904667819,0.955097609,0.979162368,0.967732558,1.005239823,0.991677136,1.008481595,1.010376135,1.017515883,1.018181654
7/01/2017,0.910109884,1,0.87804878,1.106861974,1.208078335,0.968798046,0.934860415,1.107747106,0.876509437,0.983092508,0.931034483,0.908372438,0.924302564,0.977511863,1.019767442,0.965739621,0.99968593,1.008481595,1.010376135,1.017515883,1.018181654
8/01/2017,0.912724249,1,0.884700665,1.094081793,1.259485924,1.049851245,0.964209019,1.116651825,0.828898284,0.964843079,0.862068966,0.913558903,0.934913036,0.951310089,0.994476744,0.949214027,0.978800251,1.008481595,1.010376135,1.017515883,1.018181654
9/01/2017,0.904340248,1,0.953436807,1.170271333,1.264381885,0.993470751,0.983536149,1.076580588,0.755436735,0.986942102,0.793103448,0.925660657,0.87257563,0.951103776,1.048837209,0.94598952,0.96843593,1.004902938,0.992866407,1.021496751,1.008727245
10/01/2017,0.909198361,1,1.017738359,1.120920173,1.29130967,0.992112987,0.958482462,1.112199466,0.779518638,1.015976722,0.827586207,0.944924673,0.943760972,0.942025995,1.046802326,0.949214027,1.051821608,1.004902938,0.985732815,1.022293037,1
11/01/2017,0.779061032,1,0.853658537,0.971588675,1.189718482,0.932491165,0.83321403,1.006233304,0.669360856,0.910189678,0.724137931,0.856013831,0.811739906,0.8262843,0.958430233,0.841999194,1.006752513,1.007746376,0.998702983,1.015923552,0.994181798
12/01/2017,0.806176314,1,0.87804878,1.011993708,1.206854345,0.921389445,0.848246242,1.088156723,0.689657078,0.928100234,0.706896552,0.928871326,0.875078433,0.883226738,1.014244186,0.99758162,1.008636935,1.005585009,1.014267185,1.015923552,0.999272643
13/01/2017,0.825358348,1,0.862527716,1.021333071,1.195838433,0.933536111,0.806728704,1.121104185,0.693456575,0.987430079,0.74137931,0.918004446,0.855330969,0.891479266,1.044186047,0.966545748,1.03580402,1.007445202,1.01232166,1.021496751,0.997818237
14/01/2017,0.819779031,1,0.864745011,1.047974833,1.181150551,0.982289164,0.793843951,1.075690116,0.683218658,1.049873036,0.724137931,0.951346011,0.866738108,0.900350732,1.081395349,0.99637243,1.077732412,1.007445202,1.01232166,1.021496751,0.997818237
15/01/2017,0.823174702,1,0.871396896,1.28214707,1.211750306,1.072553861,0.770221904,1.103294746,0.704744536,1.072134718,0.724137931,0.94097308,0.872328875,0.931504023,1.065988372,0.983877469,1.056218593,1.007445202,1.01232166,1.021496751,0.997818237
16/01/2017,0.832920978,1,0.864745011,1.241053873,1.179926561,1.026862433,0.761632069,1.152270703,0.834908398,1.063802966,0.74137931,0.96591751,0.843543122,0.896637095,1.066569767,0.959290609,1.065954774,1.007445202,1.01232166,1.021496751,0.997818237
17/01/2017,0.909458796,1,0.873614191,1.28647267,1.260709914,1.048586661,0.886900501,1.268922529,0.814156235,1.106875954,0.793103448,0.96591751,0.822315128,0.921807303,1.024418605,1.02579605,1.067839196,1.004455606,1.012970169,1.039012715,1.005454504
18/01/2017,0.888103132,1,0.851441242,1.325304758,1.252141983,1.076527318,0.862562634,1.252003562,0.819738042,1.137270583,0.844827586,0.974314646,0.867414922,0.906127502,1.03255814,1,1.053548995,1.006227218,0.999351492,1.041401172,1.006909064
19/01/2017,0.900573959,1,0.855875831,1.403263862,1.272949816,1.042483377,0.86972083,1.35173642,1.002459311,1.063558977,0.810344828,0.95776735,0.822181175,0.912935837,1.042151163,0.946795647,1.104585427,1.002595412,0.997405966,1.041401172,0.997090918
20/01/2017,0.8965272,1,0.862527716,1.343491939,1.297429621,1.030756022,0.85254116,1.349955476,0.935615795,1.060811849,0.775862069,0.958755248,0.83057085,0.900557046,1.030523256,0.950020153,1.048209799,1.005970334,1.009079118,1.038216509,1.00436368
21/01/2017,0.923331964,1,0.864745011,1.373476209,1.335373317,1.053119197,0.861130995,1.333036509,1.013097903,1.122875268,0.793103448,0.937021487,0.819995629,0.897668661,1.072965116,0.927448609,1.053077889,1.005970334,1.009079118,1.038216509,1.00436368
